CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	老婆……\n艾德……！艾德娜……
COP_DETAIL_WP_B_003	溜溜球形狀的武器，四個一組，\n核心是魔獸蜘蛛亡靈體內能量爐的\n小型複製品。\n\n裝備在手腳上後，揮舞時會從核心中\n現出高速迴轉的放射狀利刃切割目標，\n核心還會噴發灼熱的岩漿，\n讓目標受到更大的傷害。\n\n也可以把裝備在腳上的溜溜球當成輪子，\n像穿著滑輪鞋一樣高速行動。\n\n這組武器可說是為了透過魔導術\n「惡魔變裝」借用蜘蛛亡靈的能力而製，\n熟練的施術者能變化成蜘蛛般的外貌，\n並獲得在牆面上移動或擺盪跳躍等能力。
COP_DETAIL_WP_B_004	扇形武器，使用剛出生的\n魔獸瑪法斯幼獸羽毛製成。\n\n重量比紙張更輕盈，韌度卻媲美鋼鐵，\n展開後銳利羽毛的尖端所畫出的弧線\n會像刀刃般切割敵人。\n\n裝備這項武器時使用「惡魔變裝」，\n就能和魔獸瑪法斯融合，\n將雙臂化為翅膀，展翅飛行。
COP_DETAIL_WP_B_005	魔獸拉波斯化為武器的姿態，\n此魔獸是誤闖魔界的人類寵物變化而成。\n\n裝備在雙手雙腳上後可以發射，\n在空中飛舞並打擊遠處的目標，\n還能從前端口中噴出\n絕對零度的凍結氣息。\n\n使用「惡魔變裝」與拉波斯融合後，\n可以發揮祂的各種能力，\n例如變成四足野獸在空中奔馳，\n或製造冰分身來多重攻擊。
COP_DETAIL_WP_B_006	魔獸巴爾愛用的麥克風。\n\n雖然這只是祂用來享受歌唱的麥克風，\n但在長年使用後附著強大的魔力，\n可以將聲音變成具破壞力的音波放出，\n依歌唱方式也可提升攻擊力或防禦力等，\n在戰鬥中發揮各式各樣的能力。\n\n輕巧又堅固，當作長槍來打擊或刺擊\n也威力非凡。\n\n拿著這支麥克風使用魔導術「惡魔變裝」\n就能讓魔獸巴爾的力量寄宿於自身，\n用魔界第一歌姬的至高美聲，\n對廣範圍內的敵人造成極大傷害。
COP_DETAIL_WP_B_007	魔獸米克特蘭特庫特利製作的魔導器，\n以帽子「阿布拉」與手杖「卡達布拉」\n為一組，如同魔術道具。\n\n能力也彷彿「魔術」，兩兩搭配使用，\n就能像變魔術一樣變出鴿子、炸彈，\n甚至是車輛來砸向目標。\n\n據說其中的機關也和魔術一樣無人清楚，\n連使用者也無法預期能引起什麼妙事。\n\n用這組魔導器發動魔導術「惡魔變裝」，\n讓魔獸米克特蘭特庫特利的力量\n寄宿於自身，就能將身體分裂成兩段，\n或利用帶電攻擊傷害廣範圍內的敵人，\n施展各種堪稱「魔術」的招式。
COP_DETAIL_WP_B_008	惡魔妖花愛娜溫會在魔界各處扎根，\n羅丹將祂封入後製成這組鞭形武器。\n\n形狀模仿愛娜溫的花苞，一旦碰觸它，\n腦中就會響起愛娜溫哀怨的叫喊，\n據說意志力薄弱的人光是聽見就會發瘋。\n\n四個一組，裝備在雙手雙腳後用力揮舞，\n會從中伸出伸縮自如的藤蔓鞭打目標。\n\n藤蔓十分柔軟，卻像鋼索一樣堅固，\n上頭的銳利荊棘能讓目標血肉橫飛。\n\n裝備這組武器時使用魔導術「惡魔變裝」\n就能自在地操縱愛娜溫的能力，\n全身伸出藤蔓來廣範圍攻擊。
COP_DETAIL_WP_B_009	戰鬥機關車轟怨用自身零件製造的\n複製品，能夠讓鋸齒車輪高速迴轉\n來切割目標，像電鋸一樣攻擊。\n\n重量超過一噸，所以普通人類無法使用，\n但是如果可以揮舞這項武器，\n武器的重量和車輪迴轉的能量\n將會造成令人畏懼的破壞力。\n\n不只能把它當成武器使用，\n也能跨坐其上讓車輪轉動，\n當成交通工具使用。\n\n用魔導術「惡魔變裝」和這項武器融合，\n就能獲得戰鬥機關車轟怨的鋼鐵身軀，\n不僅能疾行，還可將全身化為武器，\n利用衝刺能力與車輪的破壞力\n施展豪邁的攻擊。
COP_DETAIL_WP_B_010	船錨形武器，據說在遙遠的過去，\n一名戰士用這武器挑戰魔獸多足海怪，\n卻以敗北告終並沉入海底。\n因為長年插在多足海怪身上，\n寄宿了強大的魔力。\n\n揮舞時能射出鎖鏈連接的前端，\n以重量和上頭的銳利突起處粉碎目標。\n\n施展魔導術「惡魔變裝」後，\n可以借用這把武器上的多足海怪之力，\n變身成八隻觸手的異形魔人，\n在地面上也能如同在水裡一樣游泳，\n還能用伸縮自在的觸手來廣範圍攻擊。\n\n相關記錄指出在日本也有人使用過它，\n平安時代末期，平家的某位武將\n為了終結與魔族的戰爭，\n背上這把武器前往魔族首領所在的海底，\n但無從確定這份記錄的真偽。
COP_DETAIL_WP_B_011	外觀設計酷似門板的厚重鐵塊，\n可以裝備在雙手上。\n以倒塌的暗影鐘樓瓦礫製成，\n是單純的打擊武器，能以本身重量\n和銳利的突出部分造成極大破壞力。\n\n另外這武器也富含各種攻擊機關，\n打開「門」的部分時，\n可以放出格林機關槍或是機械手臂。\n\n有一說是鐘樓倒塌時喪命的暗影魔女怨念\n造就了這些武器，門後滿溢的無數亡靈\n便是她們與魔界瘴氣融合後的模樣。\n\n使用「惡魔變裝」，就能借助亡靈的力量\n化為沒有痛覺的機械人偶，\n被敵人攻擊也不會停止戰鬥。
COP_DETAIL_WP_B_012	墮天使羅丹過去曾用來\n治理部分天界的神秘手鐲。\n\n據說裝備在雙手雙腳上使用，\n就會影響使用者的身體記憶，\n變成各式各樣的形狀，\n讓使用者獲得超越人類智慧的能力，\n但它的一切都處於謎團之中，\n連是否實際存在都無人知曉。\n\n穿戴這副手鐲並施展魔導術「惡魔變裝」\n就能獲得象徵羅丹黑暗面的強大魔力，\n但不保證能夠平安解除法術並回復人型。
COP_DETAIL_WP_B_013	普通自動手槍，只要獲得國家許可，\n不論是誰都可以持有。\n\n專為一般人設計，因此無法承受\n注入魔力的打擊與子彈藝術的射擊，\n使用者必須控制自己的魔力。
COP_DETAIL_WP_B_014	名匠羅丹為了某個平行世界的\n蓓優妮塔而製作的四把手槍，\n分別叫做「香芹」「鼠尾草」\n「迷迭香」以及「百里香」。\n\n十分堅固，注入魔力後施展激烈\n格鬥術——子彈藝術也不會損壞，\n還有優異的射擊精準度。
COP_DETAIL_WP_B_015	名匠羅丹為了某個平行世界的\n蓓優妮塔而製作的四把手槍，\n分別叫做「夜曲」「托卡塔曲」\n「小步舞曲」以及「前奏」。\n\n強度與射擊精準度都不輸史卡博羅市集。
COP_DETAIL_WP_V_051	由中世紀的日本名匠打造，\n傳聞妖精女王瑪布出現在他的夢中，\n並命令他鑄造這把長刀。\n\n據說若讓熟練的劍客使用，\n世間將沒有無法斬斷的事物。\n每當大戰爆發，\n這把刀就會在知名劍客之間流動。\n\n刀身寄宿著外貌不像貓又不似熊的\n魔獸小柴貓，薇歐拉使用召喚術時，\n祂就會以刀柄上的吊飾為觸媒現身。
COP_DETAIL_WP_V_051_02	由中世紀的日本名匠打造，\n傳聞妖精女王瑪布出現在他的夢中，\n並命令他鑄造這把長刀。\n\n據說若讓熟練的劍客使用，\n世間將沒有無法斬斷的事物。\n每當大戰爆發，\n這把刀就會在知名劍客之間流動。\n\n刀身寄宿著外貌不像貓又不似熊的\n魔獸小柴貓，薇歐拉使用召喚術時，\n祂就會以刀柄上的吊飾為觸媒現身。\n\n經過無數歲月，這把劍來到薇歐拉手中，\n但據說它其實也不停流浪旅行，\n尋找繼承妖精之力的主人。
COP_DETAIL_WP_V_052	薇歐拉的特殊飛鏢，\n她親自一支支注入了魔力。\n\n內藏灌滿醚類的玻璃管，\n灌注魔力並擲向目標可以提升攻擊力。\n\n但是薇歐拉不擅長精細作業，\n專注力也不夠，\n更會一邊打瞌睡一邊製作，\n所以品質參差不齊。
COP_DETAIL_WP_J_071	魔界名匠羅丹製作的四把手槍，\n分別叫做「阿多斯」「阿拉密斯」\n「波爾多斯」以及「達太安」。\n\n製作時考量到貞德\n和主要契約惡魔「冥河夫人」的搭配，\n當她使用上級魔導術「惡魔變裝」，\n冥河夫人的力量將帶來驚人的加成效果。\n\n使用「惡魔變裝」與夫人融合後，\n不僅可在祂的輔助下施展豪邁打擊，\n還能在空中滑翔。
COP_DETAIL_AC_B_001	古埃及的魔女克麗奧佩脫拉\n所擁有的古代魔導器。\n只要使用者受到攻擊，\n就會以魔力為代價，發動魔女時間。\n\n克麗奧佩脫拉擅長教導魔導術，\n據傳這是她為無法精通魔女時間的\n修行者所打造的。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_002	與魔界通信的裝置，可用來呼叫\n臭名昭彰的惡魔不良分子「小惡魔」。\n\n使用者可使用這個魔導器與其簽訂\n短期契約，指揮祂們攻擊。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_003	據傳這是古時候拉薩王妃的替身\n——魔女杜蘭朵所製作的秘寶，\n使用者可獲得守護蝶的護佑。\n\n守護蝶會在使用者周圍飛翔，\n代替使用者承受攻擊後散去。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_004	美國納瓦荷族自古歌頌的傳說魔女\n耶納爾杜希所製作的魔導器。\n\n可透過挑釁敵人讓使用者回復體力。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_005	侍奉倭國女王卑彌呼的魔女惡狐\n所使用的魔導器。\n\n使用者迴避進逼而來的危險時，\n會讓攻擊者自食惡果，遭受魔法攻擊。\n它的攻擊威力十分強大，\n卻會劇烈耗損使用者的精神力，\n因此將不得發動魔女時間。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_006	被詛咒的魔導器，\n附有非洲馬利古傳說中的混亂女神\n——「穆索·柯羅妮」的怨念。\n\n據說穿戴此物就代表背叛其他世界，\n將會觸怒其他世界的居民。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_007	受到印度破壞神濕婆祝福的魔導器。\n\n據說這是侍奉毗奢耶那伽羅王朝的\n魔女夜叉女所製作的，\n具有可反彈敵人攻擊的力量。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_008	與古代惡魔劍客簽訂契約，\n對抗魔界侵略軍的孤高魔女伊娃\n所製作的魔導器。\n\n據說戴上它就可更加受惠於\n魔導術的精髓——魔女時間，\n但實際效果眾說紛紜，\n仍有許多尚未明瞭的部分。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_009	魔女製作的魔導器，\n據說該魔女在明朝末期率領\n配備梣樹槍枝的精銳兵隊，震懾沙場。\n\n摻入了「巔峰手環」的碎片，\n能將已達巔峰的力量提升至更高境界。
COP_DETAIL_AC_B_010	象徵力量與地位，\n只有暗影魔女的族長才能穿戴的秘寶。\n\n據說這是受人敬畏的「魔女王」——\n古代魔女艾森所製作的，\n只要戴在手上，就能促進魔力回復。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。
COP_DETAIL_AC_B_011	能使穿戴者的力量達到巔峰的\n神秘秘寶。\n\n無人知曉此物是在何時、何處，\n用何種方式製作，\n甚至有人認為它來自其他宇宙。\n\n它具有強大的力量，\n連神與惡魔都畏懼三分，\n因此大家都心照不宣，\n不得在任何戰爭中使用此飾品。\n\n沒有固定形狀，會配合持有者的\n戰鬥方式和戰鬥服變化成手環或耳飾。\n\n※裝備此道具的遊玩結果\n將會受到懲罰。
COP_DETAIL_AC_B_012	巫女阿國所製作的魔導器，\n據說在日本中世紀至近代早期，\n她周遊諸國舉行表演，娛樂大眾。\n\n穿戴此耳飾翩翩起舞，\n觀眾就會獻上更多錢財，\n在戰場上則能讓輸家\n供出身藏的所有財寶。
COP_DETAIL_AC_A_001	魔女瑪莉所製作的腰飾，\n其戰鬥方式極為殘忍，令人畏懼，\n因此別名為「血腥瑪莉」。\n\n瑪莉十分擅長戰鬥，\n據說她能如行雲流水般不斷使出招式。\n只要穿上這個魔導器，就會像受她\n操控一樣，能用其純熟技巧戰鬥。\n\n※因裝備於專用欄位，\n無法與其它飾品替換。\n※若在難度STANDARD\n以上的關卡使用，\n將減少獲得的連擊點數作為處罰。\n在沒有連擊點數的章節中，\n則會減少章節結果作為處罰。
COP_DETAIL_AC_B_013	傳說過去魔女梅迪亞造訪克里特島時，\n打倒了護島巨人塔羅斯，\n並取出作為其動力的真核，\n製成了此魔導器。\n\n即使不會秘術「惡魔奴隸」，\n據傳只要配戴此魔導器執行召喚術，\n就可以輕易地操控惡魔，\n因此被廣泛使用於魔導術的修行。
COP_DETAIL_AC_B_014	印度原住民——德干居民流傳的魔導器。\n據傳封入了從戰爭女神杜爾噶的法螺\n所吹出來的音色。\n\n杜爾噶是為了提高鬥志而吹奏該法螺，\n所以配戴此魔導器執行召喚術時，\n惡魔會變得極具攻擊性，\n雖然能藉此帶來豐碩戰果，\n但魔獸也有可能襲擊施術者，\n傳聞因此導致多數魔女喪命。
COP_DETAIL_AC_B_015	平安時代末期的日本有一名魔女巴御前，\n她驍勇善戰，能駕馭任何暴躁馬匹，\n傳聞後世的工匠使用了她愛用的韁繩，\n製作出此魔導器。\n\n配戴此魔導器就能鎮定召喚出的魔獸，\n以魔導術「惡魔奴隸」操控時，\n魔獸也不會失控。
COP_SHOP_AC_B_001	只要使用者受到攻擊，\n就會以魔力為代價，發動魔女時間。
COP_SHOP_AC_B_002	消耗魔力召喚小惡魔。\n召喚出來的小惡魔\n會配合玩家的攻擊，\n用身體衝撞來追加攻擊敵人。
COP_SHOP_AC_B_003	消耗魔力召喚蝴蝶。\n召喚時若遭到敵人攻擊，\n蝴蝶會代為承受，阻擋傷害。
COP_SHOP_AC_B_004	挑釁時回復體力。
COP_SHOP_AC_B_005	在發動魔女時間的時機\n迴避敵人的攻擊，\n不會發動魔女時間，\n但會向敵人射出魔法子彈。
COP_SHOP_AC_B_006	裝備時即便不挑釁，\n敵人也會處於憤怒狀態。
COP_SHOP_AC_B_007	抓準時機朝敵人的攻擊方向\n推動操控搖桿，就能反彈攻擊。\n若在精準時機反彈，\n將同時發動魔女時間。
COP_SHOP_AC_B_008	消耗魔力延長魔女時間。
COP_SHOP_AC_B_009	提升惡魔變裝的攻擊力。
COP_SHOP_AC_B_010	耗盡魔力時，提升魔力回復速度。
COP_SHOP_AC_B_011	魔力與變裝怒火的發動能量不會減少。\n但裝備後的戰鬥結果將受到處罰。
COP_SHOP_AC_B_012	對敵人發動酷刑攻擊時\n得到的寶晶數量變成1.25倍。
COP_SHOP_AC_A_001	裝備後連按[ICON:PUNCH ][ICON:KICK ]，\n就能自動使出高手般的連擊和迴避。\n在難易度STANDARD以上的關卡裝備，\n遊玩結果中將有處罰。
COP_SHOP_AC_B_013	使用惡魔奴隸時，\n魔獸會自動攻擊周圍的敵人，\n蓓優妮塔可以自由行動。
COP_SHOP_AC_B_014	提升魔獸的攻擊力，\n但是更容易失控。
COP_SHOP_AC_B_015	魔獸就算遭到敵人攻擊也不會失控。
COP_SHOP_AC_V_001	只要使用者受到攻擊，\n就會以魔力為代價，發動魔女時間。
COP_SHOP_AC_V_002	消耗魔力召喚小惡魔。\n召喚出來的小惡魔\n會配合玩家的攻擊，\n用身體衝撞來追加攻擊敵人。
COP_SHOP_AC_V_003	消耗魔力召喚蝴蝶。\n召喚時若遭到敵人攻擊，\n蝴蝶會代為承受，阻擋傷害。
COP_SHOP_AC_V_004	挑釁時回復體力。
COP_SHOP_AC_V_005	防禦成功時向敵人射出魔法子彈，\n精準防禦成功時子彈威力增強。
COP_SHOP_AC_V_006	裝備時即便不挑釁，\n敵人也會處於憤怒狀態。
COP_SHOP_AC_V_007	抓準時機朝敵人的攻擊方向\n推動操控搖桿，就能反彈攻擊。\n若在精準時機反彈，\n將同時發動魔女時間。
COP_SHOP_AC_V_008	消耗魔力延長魔女時間。
COP_SHOP_AC_V_009	提升化身妖精時的攻擊力。
COP_SHOP_AC_V_010	耗盡魔力時，提升魔力回復速度。
COP_SHOP_AC_V_011	魔力與「覺醒！」的發動能量不會減少。\n但裝備後的遊玩結果將會受到處罰。
COP_SHOP_AC_V_012	對敵人發動酷刑攻擊時\n得到的寶晶數量變成1.25倍。
COP_SHOP_AC_V_013	讓小柴貓脫離鎖鏈的束縛。
COP_SHOP_AC_V_014	提升小柴貓的攻擊力，\n但是會增加召喚時消耗的魔力。
COP_SHOP_AC_V_015	減少召喚小柴貓時消耗的魔力。
CORE_NOTEL_DETAIL_001	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n在大海中突出的礁石周圍，\n漂浮著數艘小船。\n\n帶頭的船隻上有一名男子站在船頭，\n向同艘船的夥伴們激昂地高談闊論。\n\n「即便擁有看透一切的觀測能力，\n至今也只能獲得曖昧零碎的位置資訊。\n\n但是，我們終於成功了！\n\n花費多年蒐集、拼湊線索……\n我們終於來到此處！\n答案直指我腳下這塊土地的遙遠上空！\n\n同志們，開始吧！\n用我們的雙手建造天之穹頂！\n不為其他，只為我們的目的！！」\n\n被稱為同志的人們響應男人的話，\n高舉起手，發出震天動地的吶喊。\n\n當周圍人群的熱氣傳達過來，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_002	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n一望無際的廣闊大海中央，\n矗立著一座與周圍景觀格格不入的巨大建築物。\n\n建築頂端有位單手持著一瓶液體的女性，\n她一邊休息一邊眺望著大海。\n\n「剛和賢者們來這裡的時候，\n還只是座稍稍露出海面的寂寥岩礁……\n哈哈，現在的景觀比想像中還要美呢。\n\n不過，就算是為了捕捉空中的特異點，\n居然被迫做出這麼誇張的行徑。\n\n明明只要乘著魔獸，\n一轉眼就可以飛上天空……\n但是不能那麼做。\n\n因為他們說要捕捉特異點，\n聖魔之間的力量平衡很重要。\n\n嗯……算了。\n總之計畫很順利。\n第一階段只花一年就完成了。\n\n這樣一來，剩下四個階段也只要四年……\n不對，兩年！只用一半時間就能搞定！\n給我走著瞧，賢者們！」\n\n女性發出豪邁的笑聲，奮力將手中的瓶子丟入海裡。\n\n她對挑戰的期盼和決心傳達過來時，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_003	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n大海上矗立著高聳入雲的巨大人工島，\n一名男子站在島上一處的裝置前，瞇起了雙眼。\n\n他向前踏出一步、兩步，\n愛憐似地輕撫裝置，滿意地揚起嘴角。\n\n「與各位來到這裡，已度過兩年八個月。\n今天人工島圖勒終於達成了使命。\n終於……終於成功控制特異點了。\n\n藉由五個齒輪旋轉產生的波動，干涉次元的扭曲，\n打開世界之間的狹縫——裂口的入口。\n\n只要調整波動，甚至能指定前往的世界，\n至今為止這都是無稽之談。\n和魔女攜手合作做出的裝置可以說是完美無缺。\n\n只要賢者和魔女持續並肩前行，\n就沒有令我們畏懼的事物。\n為了此刻，我們費盡千辛萬苦，\n也仰賴了許多人的協助與犧牲。\n但我們必須繼續邁進，解開混沌界之謎來回報他們。\n\n充滿光榮的未來已在唾手可得之處……！\n\n男子露出無所畏懼的笑容，一甩衣襬離開了房間。\n\n他因完成目的而流露出自負與希望，\n這些情感流入全身時，腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_004	拿在手上的破舊羊皮紙對魔力起了反應，\n褪色的文字發出微弱的光芒。\n能夠辨識之前無法閱讀的文字了。\n\n『神域中出現了災難的化身。\n\n它肆虐四方三天三夜，造成慘重的損害，\n集結了無數神魔強者的力量才阻止其行動。\n但是它的力量過於強大，無法完全破壞。\n\n為了不讓它再次啟動，\n便將其核心鄭重封印在\n無人能進入的島嶼中樞。\n\n至於包覆核心的奇特金屬，\n一部分拿來研究，\n其餘則全部熔解後煉製成徽章。\n\n接著更將徽章分成四塊，\n為了永遠避免它再次合而為一，\n分別託付於四位強者。\n\n期盼島嶼能就此迎來永恆的和平……』\n\n文字逐漸淡去，最終再次褪色消失。
CORE_NOTEL_DETAIL_005	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n某處的男子正抱頭苦惱，\n他的面前放著四把武器。\n\n他拿起形狀不可思議的武器，開始喃喃自語。\n\n「嗯——搞砸了啊，這把劍該怎麼辦？\n雖然直接按照心中構想做出來了，\n但感覺不太適合當成武器……\n我還一口氣做了四把……\n\n不是的，我一開始覺得這是最棒的形狀，\n可是仔細一想還是不夠完美……不對！\n我到底在跟誰解釋啊！要沒時間了！\n\n真傷腦筋，就算這是課題，\n但隨便浪費貴重的材料……\n會被師父狠狠罵一頓啊！還有可能……\n被逐出師門！？或是被處刑！？！？嗚啊啊啊……\n\n好，找理由！我要找個理由！\n讓腦袋全速運轉，想個好點子！\n唔……對了，這個形狀！\n\n前端尖銳的形狀，就像保護重要物品的鑰匙！！\n這不是劍，而是鑰匙！\n\n既然這樣，接下來就該做個鎖。\n只要應用之前學到的結界……嗯，沒問題！\n這是鑰匙！這是鑰匙啊！！！」\n\n男子一邊喊叫，一邊胡亂地鋪開羊皮紙，\n開始思考如何編寫結界術式來作為鎖。\n\n他心想的各種術式讓人眼花撩亂，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_006	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n一名年輕男子操作著巨大的裝置。\n他熟練地啟動裝置後，\n安心地用手擦去額頭的汗滴。\n\n「確認齒輪正穩定運轉……\n很好，第57次的次元轉移測試也成功了！\n\n成功……了啊……呼。\n不管是來這裡幾次，都還是習慣不了。\n\n雖然大門敞開，但這裡可說是深淵，\n真的能安全回去嗎……？\n我當然很信任轉移裝置，\n但是無法斷言自己沒有絲毫不安。\n\n說到底，就連能看透一切的那位大人\n也找不到那東西，我卻得獨自尋找，\n不擔心才奇怪吧。\n\n好……不要再抱怨了。\n可沒有太多時間能浪費。\n\n要解開混沌界分裂成無數平行世界的謎團，\n就只能腳踏實地調查了。\n那道光芒前方會有什麼樣的世界等著我呢……」\n\n男子一股勁地向前奔去，\n轉眼間消失在光芒之中。\n\n他的不安與好奇心盈滿胸中的同時，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_007	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n在籠罩四方的黑暗之中，\n一名男子緩緩前行。\n\n雖然他邁出步伐時留意著周遭，\n但還是因為沒發現腳邊的石頭而跌倒。\n他勉強站起來後，邊拍去衣服上的沙塵邊開始思考。\n\n「痛痛痛……\n嗚，這裡到底是哪裡啊……\n\n唉……想要調查沒見過的轉移通道，\n但卻不小心碰到了……\n連我都不敢相信自己有多笨、多不幸。\n\n這裡看起來是比裂口更深的地方……\n嗯，好像沒有閒情逸致冷靜地觀察周圍了。\n\n能感受到氣息……可惡的惡魔，你們在那裡吧！\n如果不先解決那些傢伙，我可回不去。\n\n我等的神明，請大發慈悲吧！\n在我擊退這些傢伙後，請指引我回去的道路……！\n還、還有請讓我知道是不是確實鎖上了家門……！！！\n\n好，準備好啦！要上了，唔喔喔喔……哇！！」\n\n男子面向包圍四周的大批惡魔，\n再次踏出雖然踉蹌卻堅定的腳步。\n\n恐懼與衝動交織的感情湧上心頭時，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_008	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n在某個房間中，一名少女難掩興奮地來回踱步，\n隨後她擺出了大大的勝利姿勢，\n呼吸急促地坐在椅子上。\n\n「終於……終於被認可了！\n我從見習魔女畢業了……！\n我被認可是獨當一面的魔女了！\n從來沒有見過媽媽她那麼開心的表情呢。\n煎熬嚴苛的修行日子也終於結束了。\n今天這麼幸福，應該不會遭天譴吧？\n\n話說回來，我好像曾經讀過這樣一段話——\n\n『人類在情緒激昂時，感情會和記憶一同散落，\n永遠留在現場』——\n如果這是真的，那我今天的記憶一定會留在這裡吧。\n因為我這麼高興啊！\n不如說，請一定要好好留下來喔，我的記憶！\n\n啊……不行。\n能夠看見殘留記憶的好像只有高等魔女。\n未來的魔女看到我這麼興沖沖，或許會笑我呢。\n\n嗯——反正就這一天而已，沒關係吧。\n呵呵，恭喜我自己！\n\n好，明天就要整理好心情，\n努力當個獨當一面的暗影魔女！」\n\n少女珍重地輕撫自己的頭髮後，\n站起身來，快步離開房間。\n\n她對未來的溫暖希望湧上心頭時，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_009	似乎是一張色彩鮮豔的廣告傳單——\n\n『告訴拿到這張傳單的您一個好消息！！\n那就是、就是、就是！\n您雖然是人類，卻獲得了大好機會，\n能夠成為蜘蛛女郎網會員！\n\n身為人類的您肯定會好奇，\n蜘蛛女郎網究竟是什麼吧？\n說不定還不小心脫口而出了呢。\n\n現在就為您詳細說明！\n\n蜘蛛女郎網不管下雨、下槍、下岩漿，\n都24小時宅配到府，全年無休，\n我們的商品包山包海，不論您想要的\n是古董還是新品、是珍寶還是垃圾……\n都會火速送到您的手上！\n總之就是超超超超超……方便的線上購物網站！\n\n現在加入會員就免年費！\n申請一輩子的分期付款也免手續費喔！\n\n快，現在就掃描魔法陣申請入會吧！\n\n另外，本傳單24小時內有效。\n請您注意，若超過期限才登錄，\n不保證性命安全無虞。\n\n滿心期待能與您交易的那一刻到來。』\n
CORE_NOTEL_DETAIL_010	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n一名魔女站在小巷裡雙手抱胸，\n定時轉頭看向大道。\n\n她瞥了時鐘一眼，露出充滿自信的微笑。\n\n「今天一定要跟那個討厭的魔女一決勝負。\n要讓她清楚明白，誰才是真正的澀谷領袖！\n\n卡拉OK百首勝負——\n迴轉壽司大胃王對決——\n還有上次的全向交叉路口賽跑——\n\n不管哪次都是勢均力敵，\n但今天我會取得壓倒性的勝利。\n\n因為這次的比賽項目是保齡球！\n她不知道我的別名是『世塚技術球天后』。\n等著恨自己在這大好天氣向我挑戰保齡球吧！\n\n不過……那傢伙還真慢。\n她明明從來不會遲到的……啊！」\n\n周圍傳來了爆炸巨響，從崩塌的建築上掉落瓦礫。\n頓時，瓦礫墜落的速度變慢……\n\n那令暗影魔女熟悉的感覺傳來時，\n腦中浮現的畫面也隨之消失。
CORE_NOTEL_DETAIL_011	拿在手上時腦中像播放影片一樣，\n浮現某人的記憶。\n\n戰場上的陣地前，\n一名將領懷抱著某人遺留的頭盔，\n眺望滿目瘡痍的戰場。\n\n他把視線移向頭盔，長嘆了一口氣。\n\n「那位大人奮戰殞命後，轉眼間過了一週……\n他實在是一位值得依賴的將軍。\n\n那位大人有時……不對，\n是經常在抉擇時刻猶豫不決而反覆失敗。\n但是我知道，他都是故意為之。\n\n這裡是戰場，是以命相搏的地方。\n士兵們成天被迫緊繃神經，心神飽受消磨。\n但是看見那位大人犯錯的滑稽模樣，\n他們就能笑逐顏開，重新取回迎敵的氣力。\n那位大人……是故意讓大家看見自己犯錯，\n藉此緩和我們心中的重擔。\n\n然而那位大人殞命後，士氣每況愈下，\n雖然士兵們全力對付突然出現的未知敵人，\n但疲憊的神情顯露無遺。\n\n我沒有辦法變得像那位大人一樣。\n我沒有辦法撫慰士兵們的心靈。\n我該做的是……展現強大的力量，不讓他們失望。\n\n不能示弱。\n為了那位大人，要全力以赴來結束這場戰爭，\n死守他所愛的這個國家。」\n\n將領慎重地將頭盔放在附近的樹根上，\n邁開腳步返回陣地。\n\n在感受到他赴戰的決心勝過深沉的悲痛時，\n腦中浮現的畫面也隨之消失。
